Ref,Val,Package,PosX,PosY,Rot,Side
"C1","470n","C_Elec_4x5.4",54.850000,-87.775000,-90.000000,top
"C2","470n","C_Elec_4x5.4",95.100000,-87.925000,-90.000000,top
"C3","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",68.300000,-81.200000,90.000000,top
"C4","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",68.300000,-75.837500,-90.000000,top
"C5","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",81.300000,-74.812500,-90.000000,top
"C6","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",85.100000,-74.812500,-90.000000,top
"C7","100u","CP_Elec_5x5.4",71.800000,-67.150000,-90.000000,top
"C8","220u","CP_Elec_6.3x7.7",79.050000,-67.150000,-90.000000,top
"C9","10u","CP_Elec_4x5.4",82.400000,-81.000000,-90.000000,top
"C10","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",77.900000,-59.587500,90.000000,top
"D1","1N4007","D_SOD-323_HandSoldering",74.000000,-57.900000,90.000000,top
"D8","LED","LED_D5.0mm",55.250000,-63.190000,90.000000,top
"H1","M3","MountingHole_3.2mm_M3",55.000000,-55.000000,0.000000,top
"H2","M3","MountingHole_3.2mm_M3",95.000000,-55.000000,0.000000,top
"H3","M3","MountingHole_3.2mm_M3",55.000000,-95.000000,0.000000,top
"H4","M3","MountingHole_3.2mm_M3",95.000000,-95.000000,0.000000,top
"J1","AudioJack2_SwitchT","PJ301M-12-T_TN_S",92.780000,-70.150000,-90.000000,top
"J2","AudioJack2_SwitchT","PJ301M-12-T_TN_S",92.780000,-79.600000,-90.000000,top
"J3","AudioJack2_SwitchT","PJ301M-12-T_TN_S",56.847500,-70.050000,90.000000,top
"J4","AudioJack2_SwitchT","PJ301M-12-T_TN_S",56.820000,-79.450000,90.000000,top
"J5","Barrel_Jack_Switch","BarrelJack_Horizontal",66.000000,-61.000000,-90.000000,top
"R3","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",64.100000,-83.200000,0.000000,top
"R4","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",90.650000,-86.600000,-90.000000,top
"R5","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",64.750000,-65.650000,90.000000,top
"RV1","50k","Potentiometer_Bourns_PTV09A-1_Single_Vertical",70.100000,-98.000000,90.000000,top
"RV2","50k","Potentiometer_Bourns_PTV09A-1_Single_Vertical",85.124486,-97.965964,90.000000,top
"SW3","SW_SPDT","spdt_ssd12d00g3",78.460000,-53.000000,0.000000,top
"U1","PAM8403D","SOP-16_4.4x10.4mm_P1.27mm",74.912500,-77.825000,0.000000,top
"U2","L7805","TO-252-2",87.070000,-55.910000,90.000000,top
