"Reference","Value","Footprint","LCSC"
"C1,C2","470n","Capacitor_SMD:C_Elec_4x5.4","C2895732"
"C3,C10","100n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C49678"
"C4,C5,C6","1u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C77083"
"C7","100u","Capacitor_SMD:CP_Elec_5x5.4","C3347"
"C8","220u","Capacitor_SMD:CP_Elec_6.3x7.7","C3342"
"C9","10u","Capacitor_SMD:CP_Elec_4x5.4","C3357"
"D1","1N4007","Diode_SMD:D_SOD-323_HandSoldering","C193404"
"D8","LED","LED_THT:LED_D5.0mm",""
"J1,J2,J3,J4","AudioJack2_SwitchT","dis8644:PJ301M-12-T_TN_S",""
"J5","Barrel_Jack_Switch","Connector_BarrelJack:BarrelJack_Horizontal",""
"R3,R4","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17414"
"R5","1k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C2907232"
"RV1,RV2","50k","Potentiometer_THT:Potentiometer_Bourns_PTV09A-1_Single_Vertical",""
"SW3","SW_SPDT","dis8644:spdt_ssd12d00g3",""
"U1","PAM8403D","Package_SO:SOP-16_4.4x10.4mm_P1.27mm","C5122557"
"U2","L7805","Package_TO_SOT_SMD:TO-252-2","C19626525"
