Ref,Val,Package,PosX,PosY,Rot,Side
"C1","220p","C_0402_1005Metric",113.980000,-71.500000,180.000000,top
"C2","470n","CP_Elec_4x5.4",110.000000,-68.000000,-90.000000,top
"C3","470n","CP_Elec_4x5.4",114.000000,-61.000000,180.000000,top
"C4","100n","C_0402_1005Metric",118.520000,-79.500000,180.000000,top
"C5","220u","CP_Elec_6.3x7.7",134.000000,-76.500000,0.000000,top
"C6","220u","CP_Elec_6.3x7.7",107.500000,-77.000000,0.000000,top
"C7","100u","CP_Elec_5x5.4",123.500000,-84.500000,-90.000000,top
"J1","Screw_Terminal_01x02","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",106.750000,-57.332500,180.000000,top
"J2","Screw_Terminal_01x02","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",124.500000,-57.500000,180.000000,top
"LS1","8","TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",134.000000,-85.540000,90.000000,top
"R1","10R","R_1206_3216Metric",105.500000,-85.000000,0.000000,top
"RV1","10k","TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal",133.500000,-60.000000,90.000000,top
"U1","LM386","DIP-8_W7.62mm",117.195000,-67.190000,0.000000,top
