"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","LCSC"
"C1","1","220p","","","","Capacitor_SMD:C_0805_2012Metric","~","C107145"
"C2,C3","2","470n","","","","Capacitor_SMD:CP_Elec_4x5.4","~","C22387960"
"C4","1","100n","","","","Capacitor_SMD:C_0805_2012Metric","~","C49678"
"C5,C6","2","220u","","","","Capacitor_SMD:CP_Elec_6.3x5.4","~","C3345"
"C7","1","100u","","","","Capacitor_SMD:CP_Elec_5x5.4","~","C72473"
"D1","1","1n4007","","","","Diode_SMD:D_SOD-323","~","C193404"
"H1,H2","2","PAD","","Excluido del BOM","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~",""
"H3,H4","2","M3","","Excluido del BOM","","MountingHole:MountingHole_3.2mm_M3","~",""
"J1,J2,LS1","3","T_BLOCK_2","","","","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","~",""
"POT1","1","T_BLOCK_3","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~",""
"R1","1","10R","","","","Resistor_SMD:R_0805_2012Metric","~","C2907296"
"U1","1","LM386","","","","Package_DIP:DIP-8_W7.62mm_LongPads","http://www.ti.com/lit/ds/symlink/lm386.pdf",""
